Learner,Gender,Semester,Type,Submission Sequence,Description,Observing the Status Quo (OSQ) Mastery Level,Assessing Personal Interest (API) Mastery Level,Exploring the Problem Space (EPS) Mastery Level,Assessing the ROI of Time/Effort (ROI) Required Mastery Level,Estimating the Value for Customers (EVC) Mastery Level,Identifying Others to De-risk the Opportunity (ODR) Mastery Level,Taking Action to Build Momentum (ABM) Mastery Level,Feedback Given,Correct,Incorrect,Next steps
JH,1,Fall,Observation,1,"Work Order Forms – Also at the desk, we must sometimes fill out work orders if a machine 
breaks down or a door is stuck et cetera. I noticed today specifically that a student came up to 
the desk to inform me the printer was broken, and I informed them that a work order had been 
submitted prior. But a desk associate without prior information would not know that a work 
order had already been filed, so it is very easy for work orders to become clogged up with the 
same problem. Our messages in the desk associate chat announcing a work order has been filed,
ex. “The printer is broken is SHC lobby and a work order has been filed” can also be clogging to 
our chat where important announcements are also sent to. This is more of an annoying problem 
rather than an emergency, and it can lead to important announcements being missed entirely. 
I’m sure it is also annoying to the building maintenance people who get multiple work orders for 
the same issue, as I’m sure it clogs up their virtual work order system. I felt the emotion 
relatively mildly compared to other items on this list, but still felt like a solution could be reached to make things easier for all parties involved. ",Emerging,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,"Great detailed descriptions! One thing to keep in mind going forward is that we are trying to train your brain to notice business idea types of problems instead of process improvements. Some of your observations were process improvements, which is fine if you can diagnose it as such. The problem with process improvements is that in order to fix it you would have to spend a bunch of time and money to build a whole new company that is very similar to an existing company and that existing company could easily compete with you at a low cost just by shifting a few things. That being said businesses will still buy products or consulting services to help them with their problems so be sure to look at the problem from the business’s side and not just the customer's side.","Articulated a negative experience with specific emotion, intensity level, frequency, and considered the impact of the issue on others.  ",Not clear if this is a business opportunity or process improvement.,"Praise descriptive identification of specific emotions experienced and how intense it was to encourage further practice. Point out that while this was largely a process improvement in an existing organization, that it could become an entrepreneurial opportunity if the focus were on designing a new internal communication tool to sell to businesses. This provides a initial model of how to convert process improvement observations into business ideas."
JH,1,Fall,Observation,1,"Stairmaster Cable at the Gym – I went to the gym today to do some cardio and my friend and I 
decided to use the Stairmaster to start off our workout. We noticed the bands that attach to 
your waist to kickstart the machine was uncomfortable and hard for us to figure out. I found it 
annoying and so did my friend, we wished there was a way we could use the machine without 
the annoying band that you had to keep readjusting. I felt the emotion very intensely because it 
caused me to have to delay my workout for at least 5 minutes trying to get the band in the right 
place so the machine wouldn’t go too fast or slow, I felt like there could be a solution to make 
things easier.",Awareness,No Evidence,Awareness,No Evidence,No Evidence,No Evidence,No Evidence,"Great detailed descriptions! One thing to keep in mind going forward is that we are trying to train your brain to notice business idea types of problems instead of process improvements. Some of your observations were process improvements, which is fine if you can diagnose it as such. The problem with process improvements is that in order to fix it you would have to spend a bunch of time and money to build a whole new company that is very similar to an existing company and that existing company could easily compete with you at a low cost just by shifting a few things. That being said businesses will still buy products or consulting services to help them with their problems so be sure to look at the problem from the business’s side and not just the customer's side.",Articulated a negative experience with specific emotion and intensity level. though mentioned others as part of their experience.  Identified a specific feature on existing product that was an issue.,Lack of frequency or an understanding of how common the experience on the stairmaster with the belt is. ,"Praise the use of personal experience as a source for noticing opportunities and then ask How many stairmasters there were, Was this a problem on all of them? How many people are likely to complain about this to the gym? How could you find out if this was a problem for others besides you and your friends? These question are intended to help them expand their perspective about what else they should notice beyond their own experience. "
JH,1,Fall,Observation,1,"Fry Line at Dine and Connect – This one is straightforward but the fry line at Dine and Connect was especially long today. I noticed there was a line almost looped around the corner. It was a problem for me because with certain dining halls on campus closed and North closed, I’m aware that East dining hall would be more packed, but this was more than usual. It also made me 
wonder about the benefits of opening more than one fry station to keep down the hustle and 
bustle all in one area. I felt mildly about this event, it was more of a “what could be done 
differently here so I am not waiting 10 minutes for my plate of fries?”",Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,"Great detailed descriptions! One thing to keep in mind going forward is that we are trying to train your brain to notice business idea types of problems instead of process improvements. Some of your observations were process improvements, which is fine if you can diagnose it as such. The problem with process improvements is that in order to fix it you would have to spend a bunch of time and money to build a whole new company that is very similar to an existing company and that existing company could easily compete with you at a low cost just by shifting a few things. That being said businesses will still buy products or consulting services to help them with their problems so be sure to look at the problem from the business’s side and not just the customer's side.",Articulated a negative experience with specific emotion and intensity level. though mentioned others as part of their experience.  Problem solving was activated questioning what could be done to fix the situation.,Lack of understanding of root cause and consideration of Dine and Connect as a customer. ,"Praise descriptive identification of specific emotions experienced and how intense it was to encourage further practice. Point out that while this was largely a process improvement in an existing organization, that it could become an entrepreneurial opportunity if the focus were on designing a new ordering tool to sell to businesses if it was a big enough pain for them. Ask if having people wait in line prevents Dine and Connect from making money. This question provides a chance for reflection of Dine and Connect's needs."
JH,1,Fall,Observation,1,"Amazon Shipping around Holidays – I ordered my Halloween costume today from Amazon, but it took me around 40 minutes to find items that would arrive in time for Halloween. It made me wonder if there could be company procedures taken to make shipping faster specifically for the holidays, so I didn’t have to take a large delay into account when ordering. I felt somewhat 
strongly about this because I feel like this a problem people encounter a lot when ordering last 
minute around the holidays and it was fairly annoying to me.",Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,"Great detailed descriptions! One thing to keep in mind going forward is that we are trying to train your brain to notice business idea types of problems instead of process improvements. Some of your observations were process improvements, which is fine if you can diagnose it as such. The problem with process improvements is that in order to fix it you would have to spend a bunch of time and money to build a whole new company that is very similar to an existing company and that existing company could easily compete with you at a low cost just by shifting a few things. That being said businesses will still buy products or consulting services to help them with their problems so be sure to look at the problem from the business’s side and not just the customer's side.","Articulated a negative experience with specific emotion, intensity level, frequency, and considered the impact of the issue on others.  ",Not clear if this is a business opportunity or process improvement.,"Praise descriptive identification of specific emotions experienced and how intense it was to encourage further practice. Point out that this probably is not an entrepreneurial opportunity because it would require creating another Amazon that does that one thing a little better. In the meantime, Amazon might just get better at it too removing any competitive advantage the new organization had. This introduces the concept of competitive positioining that can help create boundary conditions of what an opportunity looks like."
NN,1,Fall,Observation,1,"My roommate Emily got pranked today and someone put 60 full glasses of water all over her bedroom floor. This was a problem because she could barely maneuver around her room for basic tasks, so the cups of water had to be taken care of as soon as possible. The expression on her face when she discovered it was one of complete shock and dismay-- her eyes were wide and her jaw dropped. This is an emotion that she doesn't experience that frequently, mainly because people usually don't have 60 random cups of water put on their bedroom floor. ",Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,"Great descriptions of what was happening and why it mattered. Keep up the descriptions of the facial expressions and the non-verbal cues. You even captured some of how the problem is currently being solved.
Remember we're trying to notice business idea problems that could be solved if the person purchased a product or service, some of these are more process improvements. It doesn't mean it can't be the start of a business idea but if the problem isn't intense enough or happen frequently enough then they won't bother spending money to fix it. It is fine if you notice non-business idea problems, I just want you to be able to diagnose that it is more of a process improvement rather than a business idea.","Articulated a negative experience with specific emotion of others citing specific non-verbal cues, intensity level, and frequency.",Due to the lack of frquency this is not an entrepreneurial opportunity.,Praise their ability to articulate the non-verbal emotional evidence in others. Then point out that due to the lack of frequency that starting a anti-prank squad or prank clean-up service  is probably not a valid entrepreneurial opportunity. This models an assessment step using the specifics of the situation observed.
NN,1,Fall,Observation,1,"My roommate Lu was trying to make chicken for dinner, but our friend Annie was picking us up to go somewhere, so Lu only had about 10-15 minutes to cook and eat her chicken before we left. Lu was trying to cook it as fast as she could, but was feeling scared and anxious that she might undercook the chicken and give herself food poisoning in the process. I could tell she was anxious because I heard her keep saying, ""I hope this doesn't make me sick."" It wasn't a super intense emotion, but you could tell that it was invoking some nervous thoughts in her mind. Three hours have passed by though and she seems to be feeling fine. ",Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,"Great descriptions of what was happening and why it mattered. Keep up the descriptions of the facial expressions and the non-verbal cues. You even captured some of how the problem is currently being solved.
Remember we're trying to notice business idea problems that could be solved if the person purchased a product or service, some of these are more process improvements. It doesn't mean it can't be the start of a business idea but if the problem isn't intense enough or happen frequently enough then they won't bother spending money to fix it. It is fine if you notice non-business idea problems, I just want you to be able to diagnose that it is more of a process improvement rather than a business idea.",Articulated a negative experience with specific emotion of others citing specific verbal cues and intensity level.,Not clear if knowing if this is a frequent enough problem with painful enough outcomes to warrant a product to address the problem.,Praise their ability to articulate the verbal emotional evidence in others. Then point out that the challenge is knowing if this is a frequent enough problem with painful enough out comes to cause people to remember the situation when they are shoppping for something to fix the issue. Point out that it is unlikely since the problem seemed to be resolved with the current solution. This feedback provide guidance as to the characteristics of different kinds of problems.
NN,1,Fall,Observation,1,"My roommate Emily did not realize that she had a big midterm exam tomorrow, and she was complaining to me that she has not studied at all and is not looking forward to it. I observed that she is scared because she doesn't know if she'll do well on it due to her lack of studying. ",Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,"Great descriptions of what was happening and why it mattered. Keep up the descriptions of the facial expressions and the non-verbal cues. You even captured some of how the problem is currently being solved.
Remember we're trying to notice business idea problems that could be solved if the person purchased a product or service, some of these are more process improvements. It doesn't mean it can't be the start of a business idea but if the problem isn't intense enough or happen frequently enough then they won't bother spending money to fix it. It is fine if you notice non-business idea problems, I just want you to be able to diagnose that it is more of a process improvement rather than a business idea.",Articulated a negative experience with specific emotion of others citing specific verbal cues.,Not clear if knowing if this is a frequent enough problem with painful enough outcomes to warrant a product to address the problem. No mention of current attempts to solve the problem.,Praise their ability to identify specific emotions in others. Then point out that the challenge is knowing if this is a frequent enough problem with painful enough out comes to cause people to search for a solution. Point out that those who currently don't recognize the problem or attempt to solve it are unlikely to be early adopters of any new product. This feedback provide guidance as to the characteristics of different kinds of problems and early adopter behavior.
NN,1,Fall,Observation,1,"My roommate Jelena was feeling very tired this morning after our cross country practice, as she kept yawning. As a result, she went to get a coffee from Dunkin to boost her spirits. She experiences tiredness quite frequently because she is a hard working student-athlete, so this feeling is no stranger to her. ",Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,"Great descriptions of what was happening and why it mattered. Keep up the descriptions of the facial expressions and the non-verbal cues. You even captured some of how the problem is currently being solved.
Remember we're trying to notice business idea problems that could be solved if the person purchased a product or service, some of these are more process improvements. It doesn't mean it can't be the start of a business idea but if the problem isn't intense enough or happen frequently enough then they won't bother spending money to fix it. It is fine if you notice non-business idea problems, I just want you to be able to diagnose that it is more of a process improvement rather than a business idea.",Articulated a negative experience with specific emotion of others citing specific verbal cues and intensity level.,Not clear if knowing if this is a frequent enough problem with painful enough outcomes to warrant a product to address the problem.,Point out that there does not seem to be an unmet need. Their roommate experiences tiredness so buys coffee. Point out that if there is a problem with thetiredness after consuming the coffee then there may be an opportunity to make some product or service. This feedback provide guidance as to the characteristics of different kinds of problems and the need for follow-up.
NN,1,Fall,Observation,1,"This is also about my roommate Jelena, she accidentally overslept this morning until 7:20 (we have cross country practice at 7:30 and need to leave at about 7:20), so she was feeling overwhelmed and frazzled because she didn't want to be late. I didn't know she missed her alarm or else I would have woke her up. I could tell she was very stressed though because she started shouting when she woke up because she didn't realize her alarm had went off. She doesn't experience that feeling a lot because she usually wakes up on time.",Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,"Great descriptions of what was happening and why it mattered. Keep up the descriptions of the facial expressions and the non-verbal cues. You even captured some of how the problem is currently being solved.
Remember we're trying to notice business idea problems that could be solved if the person purchased a product or service, some of these are more process improvements. It doesn't mean it can't be the start of a business idea but if the problem isn't intense enough or happen frequently enough then they won't bother spending money to fix it. It is fine if you notice non-business idea problems, I just want you to be able to diagnose that it is more of a process improvement rather than a business idea.","Articulated a negative experience with specific emotion of others citing specific verbal cues , intensity level, and frequency.","Due to the lack of frequency for this individual, this is not an entrepreneurial opportunity. Lack of consideration if others have this experience more frequently that might signal a potential opportunity.","Praise their ability to notice the emotional evidence in others. Then point out that the evidence helps to show if there  is a potential opportunity here. Point out that due to the lack of frequency of sleeping in, it  is probably not a valid entrepreneurial opportunity for Jelena. It could be a common problem for others. This draws attention to evaluating the observations made and the need for finding a common experience."
KP,1,Fall,Observation,1,"Problem: Roommates are upset about our chores not being done. I observed my 
roommates complaining about too many dishes in the sink and how our chores that are 
assigned to people have not been getting done. The evidence was from Roommates 
telling me that they struggle with how other roommates are not keeping chores 
organized, leading to disputes and problems with other friends. This suggests a need for
a better system of communication to manage shared responsibilities.",Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,"Great job describing the situational and emotional evidence! When you encounter a great experience, your next thought should be about figuring out how you could consistently replicate this emotional experience for others (yourself included) on demand.",Articulated a negative experience with specific emotion of others citing specific verbal cues. States a general solution.,Unclear regarding the frequency and intensity of the experience. Makes an assumption regarding the root cause of the chores not being done (i.e. lack of an effective communication system).,Praise their description of the verbal evidence and recommend that in the future they also note how intense or frequent the problem is. Explain that this will help them know if it is a problem worth solving with a business idea that people are willing to pay for. This feedback points out the missing aspects over their description and why they matter.
KP,1,Fall,Observation,1,"Great Experience: My roommate got a 100% on her quiz today. I observed her jumping 
up and down and yelling because of how excited she was. She has been studying and 
talking about this quiz. She has been having a hard time in class so it meant a lot to her. 
Evidence showed that with hard work she got the grade she wanted which led to a very 
proud feeling for her. ",Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,"Great job describing the situational and emotional evidence! When you encounter a great experience, your next thought should be about figuring out how you could consistently replicate this emotional experience for others (yourself included) on demand.",Articulated a positive experience with specific emotion of others citing specific verbal and non-verbal cues and intensity level.,Lack of consideration of how the experience could be replicated.,"Praise their ability to describe the specific emotions with verbal and nonverbal cues as evidence. Point out that when they encounter positive experiences that this should trigger a consideration of how the feelings might be replicated. Then provide a contextualized example or question to assist with expanding their practice. Such as, How could you help other people to feel this same way? What are other situations that require study and hard work to perform well?"
KP,1,Fall,Observation,1,"Great Experience: Eating dinner with three of my roommates. My observation was that 
we had a long Monday. My three roommates and I cooked dinner together and ate which
is a small act but it was a very positive and stress-relieving experience. I observed 
laughter and my friends not acting stressed or down and they said that we should do that
more often. Evidence proves that small acts such as spending time together can be a 
great experience and can mean a lot to other people more than you think it would. ",Emerging,No Evidence,No Evidence,No Evidence,Awareness,No Evidence,No Evidence,"Great job describing the situational and emotional evidence! When you encounter a great experience, your next thought should be about figuring out how you could consistently replicate this emotional experience for others (yourself included) on demand.",Articulated a positive experience with non-verbal and verbal evidence. Highlighted the desire for greater frequency. Reflected on how it can help others.,Lack of intensity identified. Lack of consideration of how to implement replication. Lack of consideration of what others might pay for this kind of experience.,Praise their ability to think about how this experience could help others. Invite them to start thinking about how they could make that experience happen again not only for them and their roommates but for others as well. This feedback reinforces the emerging behavior of thinking beyond the experience to replication. Once they have repeatedly demonstrated that behavior then focus on the monetary value of the experience.
KP,1,Fall,Observation,1,"Need: My friend needed help with her homework. I observed that she was distressed 
from her raising her voice about how she was stressed not understand the subject. Her 
body language showed she was upset because she was pacing back and forth. 
Evidence was shown that after she sat down and talked out her problem with what she 
was not understanding she solved her problem. This shows that when talking out a 
problem or misunderstanding such as homework, it can help you understand it better 
and not overthink it. ",Awareness,No Evidence,No Evidence,No Evidence,Awareness,No Evidence,No Evidence,"Great job describing the situational and emotional evidence! When you encounter a great experience, your next thought should be about figuring out how you could consistently replicate this emotional experience for others (yourself included) on demand.",Articulated a negative experience turned into a positive experience with non-verbal and verbal evidence. Highlighted the benefits of the practice of talking things out. Implied that others could do  this too.,Lack of explicit identification of the intensity. Lack of consideration of replication. Lack of consideration of what others might pay for this kind of experience.,"Praise their ability to describe the specific emotions with verbal and nonverbal cues as evidence. Point out that when they encounter positive experiences that this should trigger a consideration of how the feelings might be replicated. Then provide a contextualized example or question to assist with expanding their practice. Such as, How could you help other people to feel this same way? What are other situations that would benefit from learning to sit down and talk through problems or misunderstandings?"
KP,1,Fall,Observation,1,"Need: Better communication in the class. I observed that many assignments mentioned 
in class were not posted and it was only communicated in class. Many people in my 
class were very frustrated with this, and as a result, the content of quizzes given in class 
was not clear. People looked very upset when handed the quiz. I noticed it took longer 
for my classmates to take the quiz and I observed body language such as people 
looking around the room, tapping the desk with a pencil, or putting their hand to their 
forehead. Evidence shows that this need could be met with frustrated students and not 
receiving a good grade on a quiz by 1.) the teacher could try to communicate the given 
material that needs to be learned before a quiz. And 2.) The students could be more 
vocal about how they felt or 3.) the students could prepare better by learning as much as
they can before a quiz because of the unknown content going to be on the quiz.",Awareness,No Evidence,No Evidence,No Evidence,Awareness,No Evidence,No Evidence,"Great job describing the situational and emotional evidence! When you encounter a great experience, your next thought should be about figuring out how you could consistently replicate this emotional experience for others (yourself included) on demand.",Articulated a negative shared experience with non-verbal and verbal evidence and intensity. ,Not clear if this is a business opportunity or process improvement.,"Praise descriptive identification of specific emotions experienced and how intense it was to encourage further practice. Point out that while this was largely a process improvement in an existing organization they are a part of (university class), that it could become an entrepreneurial opportunity if the focus were on designing a new internal communication tool to sell to universities. However, you would need to identify the emotional evidence of the university. If they are not experiencing pain there is not much motivation to spend money on it. This provides a initial model of how to convert process improvement observations into business ideas and how needs can change depending on who the customer is that needs to be observed."
JP,0,Fall,Observation,1,First great experience I had was that I was able to get to clean and straighten up the entire house this morning. Lately i've been busy with sports to maintain cleaning around the house but today was an off day type of deal for me so it allowed me to have some time knock some chores out around the house that has been needing to get done.,Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,"Nice! When you encounter great experiences, your next thought should start to be wondering how you could consistently replicate that emotional experience on demand for others. For example, you could create a maid or grocery shopping service for college students/athletes. What else besides a cookout might help others bond with friends, teammates, work associates?",Articulated a positive experience noting the frequency.,Lack of specific emotion identified and intensity level. Lack of consideration of how the feeling might be replicated.,"Praise descriptive identification of a positive experience and how infrequently it happened. Point out that when they encounter positive experiences that this should trigger a consideration of how the feelings might be replicated. Then provide a contextualized example or question to assist with expanding their practice. Such as, How could you help other people to feel this same way more frequently? What are other situations that would benefit from someone having their environment cleaned and organized?"
JP,0,Fall,Observation,1,"Second I was able to go to the grocery store and pick up some things I needed around the house like more cleaning supplies, food, drinks, and other things that I needed around the house.",Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,"Nice! When you encounter great experiences, your next thought should start to be wondering how you could consistently replicate that emotional experience on demand for others. For example, you could create a maid or grocery shopping service for college students/athletes. What else besides a cookout might help others bond with friends, teammates, work associates?",Articulated a positive experience,This is a description of activity that lacks emotional evidence,Remind them that they are trying to practice noticing situations in which there are unmet needs. Point out this submission was just a retelling of something that happened without any indication of unmet needs. Explain that even positive experience should lead to identifying thhe value provided with the intention of finding ways to create a system that can replicate that positive experience. 
JP,0,Fall,Observation,1,Third I was able to go to a cookout that one of my teammates was having at their house. This allowed my teammates and I to get together outside of practice and bond with one another and just enjoy our day off together.,Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,"Nice! When you encounter great experiences, your next thought should start to be wondering how you could consistently replicate that emotional experience on demand for others. For example, you could create a maid or grocery shopping service for college students/athletes. What else besides a cookout might help others bond with friends, teammates, work associates?",Articulated a positive experience and the value provided.,Limited emotional evidence and lack of consideration of how to replicate the value provided.,"Praise descriptive identification of the value provided by the positive experience. Point out that when they encounter positive experiences that this should trigger a consideration of how the feelings might be replicated. Then provide a contextualized example or question to assist with expanding their practice. Such as, How could you help other people to feel enjoyment or bond with others? What are other situations that would benefit from those bonding activities?"
JP,0,Fall,Observation,1,"Fourth, I noticed that one of my lights came on in my car that indicated that I needed some service done to it, so I able to take my car to the shop and get my oil changed.",Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,"Nice! When you encounter great experiences, your next thought should start to be wondering how you could consistently replicate that emotional experience on demand for others. For example, you could create a maid or grocery shopping service for college students/athletes. What else besides a cookout might help others bond with friends, teammates, work associates?",Articulated a positive experience,This is a description of meeting a need.,Remind them that they are trying to practice noticing situations in which there are unmet needs. Point out this submission was a description of how they met a need. Ask them if there was anything not great about the experience that could be improved upon as an example of the kinds of thoughts they should entertain.
JP,0,Fall,Observation,1,Lastly today was the start of my 2nd set of my 8 week courses so I was able to look ahead in some of my classes to stay on top of work and see what I have due coming up. ,Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,"Nice! When you encounter great experiences, your next thought should start to be wondering how you could consistently replicate that emotional experience on demand for others. For example, you could create a maid or grocery shopping service for college students/athletes. What else besides a cookout might help others bond with friends, teammates, work associates?",Articulated a positive experience,This is a description of activity that lacks emotional evidence,Remind them that they are trying to practice noticing situations in which there are unmet needs. Point out this submission was just a retelling of something that happened without any indication of unmet needs. 
CR,0,Fall,Observation,1,"Online learning software
 Problem - If you’re anything like me you’ve been to a couple of different schools using a couple of different online learning formats, I’ve used Canvas, Blackboard and D2L and have found it can be somewhat difficult learning the new programs and software in order to succeed in the classroom. Now obviously this could be because of my own problems that I may need to fix and just figure out a way to deal with it, however I feel as though there is a better way.
Solution - What if there was a program that could be developed that allowed us to transfer the data and information from one online learning format into the format of your choosing. This would only change the format for the user, Not the teacher or the class.
For Example: I used Canvas for 5 years and became an expert in that online learning format when i transferred schools i had to learn a different program which made it somewhat difficult for me to figure out where assignments may be or where to turn them in, Sometimes I even discovered i was having trouble finding due dates for certain things and then started to fall behind. 
Once or if this software could be developed i believe it could be a huge benefit for a lot of schools ( college or high school ) around the world that could be a potential money maker if done correctly, Or you could just sell the technology/patent.",Emerging,No Evidence,Awareness,No Evidence,Awareness,No Evidence,No Evidence,None submitted,Articulated a negative experience with specific emotion. States a general solution and how others might benefit from it.,Failed to explicitly articulate intensity level and frequency. Lack of consideration of how to implement general solution. It is unclear who is the customer and who is the user.,Praise their description of their personal experience and for coming up with a general solution that might benefit others. Invite them to consider who would pay for this. Point out that the university is unlikely to pay for an additional system because they expect you to learn to use the current system. Explain that the student will likely only pay if they feel enough difficulty to drive them to buy a solution. This feedback can help them become aware of different customer groups and their unmet needs.
CR,0,Fall,Observation,1,"Car consoles 
Problem - I have found time and time again car and truck center consoles have to be some of the biggest waste of space/poorly designed parts of the vehicle I Have ever seen not knowing how to condense and transfer space properly.
Solution - Obviously there is not a definite solution for this issue that I could write out and explain due to so many different makes and models for cars trucks and other vehicles. However its obvious that you would need a charging station couple holders a console to hold your items and most likely somewhere where the shifter is. By finding better locations and adding certain other inventions such as a wireless charging are and a coin holder there could be so many benefits to changing those things.
Obviously this is somewhat of a reach but there is a definite need and area where this could be improved that i notice on an everyday basis.",Awareness,No Evidence,Awareness,No Evidence,Awareness,No Evidence,No Evidence,None submitted,Articulated a negative experience. States a general solution.,"Failed to explicitly articulate emotiions, intensity level and frequency. Lack of consideration of how to implement general solution. It is unclear how this is a entrepreneurial opportunity versus a design feature to an existing product.","Praise their ability to look for ways to improve things. Point out that this idea would require making an entire automobile company just so that they could fix the observed design flaw. Explain that the problem of wasted space has to be really important to people to make it worth their while to start the company. Invite them to consider, in the future, the emotional evidence they have that something like this matters enough to people that they will stop using their current vehicle and purchase something new. This feedback provides clarification on the kinds of problems they should be looking for during their practices."
CR,0,Fall,Observation,1,"Automated clothing fold machine
problem - I work in retail, but I also work on commission at my retail store so when customers unfold certain things and don’t buy them it leaves me to do all of that stuff which in essence takes away time for me to help customers and to make more money. Ok ok I guess you could say im being lazy but in reality this could actually lead to so many positive problem solving/efficiency when doing my job.
Solution - A machine where you could throw in the shirts, pants, hoodies etc where it automatically folds them in the way you need them to. This would save time as well as money and lead to better customer experiences.
I haven’t done a ton research on this but I’m pretty sure nothing like it exists at the moment, I could see it being a huge benefit for people and retail stores around the world.",Emerging,No Evidence,Emerging,No Evidence,Awareness,No Evidence,No Evidence,None submitted,Articulated a negative experience and presents evidence of lost productivity and potential sales for the business. States a general solution and articulates how it would improve things for the business and indivdual using the new tool., Lack of consideration of how to implement general solution and how much businesses would pay for such a product.,Praise their ability to identify an issue for them as an employee and articulate why it matters to their employer who is the customer of their proposed product. Invite them to consider how much labor costs this would save the company per employee and how much they think they could charge. This feedback encourages additional subtasks to practice.
CR,0,Fall,Observation,1,"Interchangeable cupholders for cars
Problem - I believe so many people around the world have the issue of having sticky gross cup holders because they’re so hard to clean,
Solution - Imagine you have a cupholder that you could take out and thus for allow you to clean them. also this could allow you to potentially fit bigger cups or water bottles.
This one is kind of silly but in reality I believe it could be super beneficial and a real money maker if marketed correctly.",Awareness,No Evidence,Awareness,Awareness,Awareness,No Evidence,No Evidence,None submitted,Articulated a negative common experience and implies intensity (e.g. gross). States a general solution.,"Failed to explicitly articulate emotions, explicit intensity level and frequency. Lack of consideration of how to implement general solution. It is unclear how this is a entrepreneurial opportunity versus a design feature to an existing product.",Praise their ability to look for ways to improve things. Point out that this idea would either require finding a way to adapt the current systems or start their own car company. This feedback provides an example of how some opportunities can build on the status quo.
CR,0,Fall,Observation,1,"Removable Sink basin
Problem - I deal with this issues every day, Hair toothpaste and tons of other things that get stuck or caught in your bathroom sink. 
Solution imagine a removable sink basin with a built in strainer that would allow u to wash it whenever you want just by putting it in the dishwasher. I honestly think this could be a huge money maker for families with young children. it would allow it to be easier and quicker to clean and stay clean longer! 
This allows for cleaner and more efficient bathroom habits while also looking nice.
It can be somewhat hard to explain certain invention ideas over words on a page, However all of these inventions are something i genuinely believe and deal with on an everyday basis. When making and thinking of invention ideas the first thing that comes to mind is benefiting and making the world a better place.",Awareness,No Evidence,Awareness,Awareness,Awareness,No Evidence,No Evidence,None submitted,Articulated a negative experience. States a general solution.,"Failed to explicitly articulate emotiions, intensity level and frequency. Lack of consideration of how to implement general solution. It is unclear how this is a entrepreneurial opportunity versus a design feature to an existing product.",Remind them that inventions need a business system to support their production and distribution. Explain that people buy based on emotions then invite them to articulate the emotional reaction that they or others have to the problem as this will help craft marketing messages that resonate with potential customers. This feedback is to encourage the understanding of the problem and connect the importance of emotional awareness to entrepreneurial outcomes.
AR,0,Fall,Observation,1,"Leaving breakfast this morning I realized nobody had pushed their chairs in. Since I was the last one to leave I pushed all 14 of them in. This chef/worker was very surprised I did this, I then thought to myself how the universe always gives back. Also that this creates good habits. ",Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,"Thanks for spreading kindness with your first one but remember you are also looking specifically for problems or experiences that could be turned into a business. Who would pay to have chairs arranged? The chef/worker, while appreciative, probably won't pay you. The owner won't because that's why they have workers, and it isn't something that will increase revenue or reduce costs significantly.",Articulated a positive experience,This is a description of activity that lacks emotional evidence,Remind them that they are trying to practice noticing situations in which there are unmet needs. Point out this submission was just a retelling of something that happened without any indication of unmet needs. 
AR,0,Fall,Observation,1,"Living in the dorms and having lived in different areas like apartments, and being up late as a college student for whatever reason. Food is always hard to come by late at night especially in today's world. Having vending machines that have fresher real food would bring in a lot of money on campuses",Awareness,No Evidence,Awareness,No Evidence,No Evidence,No Evidence,No Evidence,"Thanks for spreading kindness with your first one but remember you are also looking specifically for problems or experiences that could be turned into a business. Who would pay to have chairs arranged? The chef/worker, while appreciative, probably won't pay you. The owner won't because that's why they have workers, and it isn't something that will increase revenue or reduce costs significantly.",Articulated a negative experience. States a general solution.,"Failed to explicitly articulate emotiions, intensity level and frequency. Lack of consideration of how to implement general solution. It is unclear how this is a entrepreneurial opportunity versus a design feature to an existing product.",Praise their ability to look for ways to improve things. Encourage them to highlight the intensity and frequency of the issue observed and consider how wide spread it is. Invite them to consider why current vending machines don't do this already. Ask them how easy would it be for existing vending machines to start offering fresher options. This feedback encourages additional development of their observation skills and what kinds of solutions are likely to be competitive.
